"CLUSTER","gene_name","MEM.SHIP"
1,"AACS",0.509486450430924
1,"AAR2",0.662971327334912
1,"AARS",0.831753687235402
1,"AARSD1",0.548104746554041
1,"ABCC1",0.588091260871219
1,"ABCC2",0.651789854403787
1,"ABCC3",0.636347103684627
1,"ABCF3",0.610197019991565
1,"ABHD2",0.607795943208084
1,"ABT1",0.593440390204524
1,"ABT1P1",0.659132669573485
1,"AC002055.4",0.754943461535949
1,"AC002310.7",0.632016773203156
1,"AC002398.11",0.601285755520663
1,"AC002398.9",0.886736647322769
1,"AC003002.4",0.527686187889602
1,"AC003002.6",0.599615543344193
1,"AC003005.4",0.614704714738136
1,"AC004076.7",0.736351617715849
1,"AC004967.7",0.615430779810093
1,"AC005253.2",0.56550594566392
1,"AC005280.1",0.650786096196531
1,"AC005363.9",0.581071886416183
1,"AC005523.2",0.726513556048374
1,"AC006111.1",0.676731020595122
1,"AC006547.8",0.544643793594386
1,"AC007773.2",0.754413407717033
1,"AC008781.7",0.851001259665198
1,"AC009245.3",0.530356088208134
1,"AC009299.5",0.639660401207203
1,"AC009948.7",0.511931697647407
1,"AC010170.1",0.517686819412665
1,"AC010504.2",0.553077418806905
1,"AC010525.7",0.672392153405666
1,"AC010884.1",0.622292191560478
1,"AC011308.1",0.525190153374596
1,"AC012354.8",0.809343719832137
1,"AC012442.5",0.509022496710969
1,"AC015815.6",0.560947819217061
1,"AC016405.1",0.531046818116262
1,"AC016682.1",0.593720656232597
1,"AC018735.1",0.585221656907718
1,"AC020663.1",0.513756019953909
1,"AC046143.3",0.526543489505516
1,"AC073150.6",0.676289828325756
1,"AC073254.1",0.811007580129307
1,"AC073610.5",0.686682892461467
1,"AC073869.20",0.572777042674244
1,"AC074019.2",0.634440494848173
1,"AC074138.3",0.564259544463859
1,"AC074389.9",0.754381575965767
1,"AC078883.4",0.610991857372853
1,"AC084219.4",0.728996379401865
1,"AC087645.1",0.794495155126491
1,"AC091729.9",0.667303545104014
1,"AC093724.2",0.687348340599742
1,"AC103965.1",0.723525368459449
1,"AC104534.3",0.65720312295586
1,"AC108004.3",0.514967755374189
1,"AC108463.1",0.548241474027596
1,"AC114776.1",0.777685694585815
1,"AC118138.2",0.752576623539127
1,"AC133644.3",0.530038855556324
1,"ACAD11",0.503271814499818
1,"ACAD8",0.596104087813049
1,"ACAP2",0.752504406695412
1,"ACAT2",0.594273461856222
1,"ACIN1",0.763568790590091
1,"ACLY",0.768391322757276
1,"ACOT13",0.551769543234398
1,"ACOT2",0.564548981060581
1,"ACOX1",0.562371242316957
1,"ACSL5",0.523750996825004
1,"ACTB",0.587554555605063
1,"ACTBP2",0.51053992904074
1,"ACTBP9",0.724137378904846
1,"ACTN1",0.68553710329657
1,"ACTN4",0.80831900474568
1,"ACTR1A",0.781144842482565
1,"ACTR6",0.529017640770704
1,"ACVR1B",0.846125879271335
1,"AD000090.2",0.647540157988549
1,"ADAR",0.718098049964711
1,"ADAT1",0.728145446180818
1,"ADD1",0.552208073082853
1,"ADI1",0.751114725028632
1,"ADPGK",0.665502229891191
1,"ADPRHL2",0.690978420451314
1,"AFG3L1P",0.701281124250671
1,"AGAP10",0.643886100795163
1,"AGO1",0.877205554139971
1,"AHCY",0.879523678189323
1,"AHCYP4",0.541746508044937
1,"AHNAK",0.519613580717395
1,"AHRR",0.872134565321974
1,"AIFM1",0.548224924494171
1,"AIFM2",0.504430557388657
1,"AKAP1",0.66752826777758
1,"AKAP17A",0.593662827551154
1,"AKR1B1P2",0.510221871681873
1,"AKR7A2P1",0.629877156789039
1,"AL021068.1",0.504749852773774
1,"AL096677.1",0.557700720556521
1,"AL109927.1",0.501025280575856
1,"AL136376.1",0.629803162383801
1,"AL139385.1",0.736705326164876
1,"AL162431.1",0.568843722619243
1,"AL358781.1",0.578102145792443
1,"AL590369.1",0.581337116954825
1,"AL591684.1",0.71725258540367
1,"AL603965.1",0.524523735465436
1,"ALDH1L2",0.722210988625375
1,"ALDH3A2",0.664111821466393
1,"ALDH5A1",0.704788383908359
1,"ALG1L",0.534182610134064
1,"ALG1L6P",0.705616121177092
1,"ALG3",0.68802142827027
1,"ALKBH3",0.515313966309838
1,"ALX3",0.804743958779768
1,"AMFR",0.713906830573342
1,"AMMECR1-IT1",0.502656201155676
1,"AMMECR1L",0.653312276553124
1,"ANAPC16",0.8491704748427
1,"ANAPC4",0.572263409812643
1,"ANAPC5",0.889974349612159
1,"ANGEL1",0.521540060644625
1,"ANKFY1",0.682902429470056
1,"ANKRD20A14P",0.619796561221476
1,"ANKRD27",0.738617255951147
1,"ANKRD52",0.691055725608129
1,"ANXA8",0.71725258540367
1,"AOC2",0.530369123907231
1,"AP000266.7",0.7800276002211
1,"AP000275.65",0.712028605419719
1,"AP000487.5",0.556790135359755
1,"AP000688.1",0.838021213130879
1,"AP001469.7",0.871766891683584
1,"AP001610.5",0.81929960250482
1,"AP001619.2",0.649373041112938
1,"AP3M2",0.511085096615259
1,"AP4B1",0.59688618025785
1,"AP4B1-AS1",0.595035479486966
1,"AP5B1",0.500134382267407
1,"APBA3",0.815550451947488
1,"APITD1",0.673253351800035
1,"APITD1-CORT",0.673253351800035
1,"APLF",0.723318743000369
1,"APLP2",0.865665259469318
1,"APOL2",0.571355923574791
1,"APP",0.668289140810094
1,"APTX",0.792532164023066
1,"AREL1",0.6795755346581
1,"ARF1",0.717210864016432
1,"ARF1P2",0.510394657177039
1,"ARF3",0.785626452861459
1,"ARFIP2",0.753001827178659
1,"ARHGAP19",0.79062727804041
1,"ARHGEF11",0.578534298668903
1,"ARHGEF34P",0.909384394912303
1,"ARID5A",0.500695860485284
1,"ARIH2P1",0.525904724589875
1,"ARL10",0.671117175526932
1,"ARL6IP1P2",0.542132145888116
1,"ARL8A",0.686671365980155
1,"ARMC2",0.75558132041934
1,"ARMC6",0.559349160243146
1,"ARMCX3",0.511235091407827
1,"ARPC4",0.552242278022309
1,"ARPC5L",0.623486985025522
1,"ARSB",0.661199529838065
1,"ARSD-AS1",0.693542011423556
1,"ASB7",0.576824121945776
1,"ASPHD1",0.651331318423235
1,"ASS1P2",0.683702986394651
1,"ATAD3B",0.605803832167639
1,"ATF5",0.832353242950864
1,"ATOX1",0.57788839815756
1,"ATP2A2",0.617800629438857
1,"ATP5G2P4",0.749319767325207
1,"ATP5HP1",0.50219665876018
1,"ATP5J2-PTCD1",0.727525961723366
1,"ATP5O",0.711868470624567
1,"ATP5SL",0.63214131650791
1,"ATP6V0A1",0.681861400280185
1,"ATP6V0A2",0.862563888037858
1,"ATP6V1E1",0.58172647127419
1,"ATP6V1F",0.605636028704441
1,"ATPAF2",0.500908225752105
1,"ATRN",0.733150789395737
1,"AXL",0.87643239337676
1,"B3GALT6",0.628686531597824
1,"B3GNT9",0.626507286031114
1,"B4GALT2",0.566737616640567
1,"B4GALT3",0.768110241034817
1,"BACE1",0.574124837116837
1,"BARX1",0.632554003559261
1,"BBS1",0.52119176766063
1,"BCDIN3D",0.630411474068351
1,"BCDIN3D-AS1",0.819169815804204
1,"BCL2L2-PABPN1",0.638799627059282
1,"BCS1L",0.521182565482064
1,"BFAR",0.575926075501537
1,"BICD2",0.698004177297978
1,"BIRC5",0.780549042153149
1,"BLZF2P",0.631395956221215
1,"BMS1P18",0.69369173580466
1,"BMS1P2",0.604008989805286
1,"BOP1",0.617247607910164
1,"BPHL",0.50279729247351
1,"BRD8",0.854023566421678
1,"BRMS1",0.507161679077974
1,"BRPF3",0.771767209133208
1,"BX322557.10",0.6338578469085
1,"BX842568.2",0.600973943234021
1,"C11orf31",0.855335869678155
1,"C12orf43",0.552614084981005
1,"C12orf66",0.506690397264268
1,"C14orf169",0.650786096196531
1,"C15orf40",0.598462030746352
1,"C15orf52",0.514972822408264
1,"C16orf62",0.639181351278085
1,"C17orf89",0.550192941624455
1,"C19orf38",0.764219471738587
1,"C19orf47",0.63831517936557
1,"C19orf52",0.648947213799084
1,"C1orf122",0.524270698071072
1,"C1orf123",0.591035553025857
1,"C1orf192",0.86044319270492
1,"C1orf216",0.656395382896497
1,"C1orf43",0.757992010672436
1,"C20orf24",0.534098960616948
1,"C21orf59",0.67350085842091
1,"C22orf29",0.515315223142632
1,"C2orf16",0.775258536940991
1,"C2orf27A",0.717769460445163
1,"C2orf68",0.873191788912879
1,"C2orf82",0.539130361268458
1,"C5orf45",0.69595681137551
1,"C6orf203",0.681191588213516
1,"C7orf26",0.8347811087821
1,"C7orf73",0.624175441242615
1,"C9orf40",0.781160697998602
1,"C9orf72",0.626431360774277
1,"C9orf91",0.838573654711914
1,"CABLES1",0.574468725196784
1,"CACNB1",0.575841275606103
1,"CALR",0.685526058307042
1,"CAMKK2",0.855764479769801
1,"CAMSAP1",0.710144790516009
1,"CARKD",0.854012134533079
1,"CARM1",0.512317960743775
1,"CC2D2A",0.838751895911186
1,"CCAR2",0.546932730240504
1,"CCDC103",0.610484766101707
1,"CCDC127",0.811430054846992
1,"CCDC134",0.564088019838394
1,"CCDC42B",0.536829563159601
1,"CCDC65",0.518505167259033
1,"CCDC71",0.879292154356598
1,"CCDC86",0.528643585721104
1,"CCNK",0.596547927147292
1,"CCSAP",0.556079781647886
1,"CCT6P1",0.789406601926176
1,"CDC20P1",0.594648105130559
1,"CDC42SE1",0.705533987311748
1,"CDK11A",0.512303459705872
1,"CDK5RAP1",0.645255835993238
1,"CDKN2AIPNL",0.710415155634042
1,"CECR1",0.548368692586277
1,"CELF6",0.603512883255608
1,"CENPA",0.721482893648726
1,"CENPBD1",0.759500814386861
1,"CENPO",0.643139229245953
1,"CEP104",0.864832177505503
1,"CEP112",0.769293008904598
1,"CEP164",0.714350791756434
1,"CEP41",0.562294692409456
1,"CEP68",0.594193536305822
1,"CEP85",0.766116582512579
1,"CEP97",0.723724286616248
1,"CFL1",0.590590270832919
1,"CHADL",0.770005004724491
1,"CHERP",0.681723989675948
1,"CHFR",0.563003442641191
1,"CHMP6",0.507405292717641
1,"CHMP7",0.778034104804162
